Region,PHI_Expected_Points_Pace,PHI_Jump_Shots_Pace,PHI_Layups_Pace,PHI_Dunks_Pace,PHI_Hooks_Pace,PHI_From_Turnovers_Pace,PHI_From_Second_Chances_Pace,PHI_From_Fast_Break_Pace,TOR_Expected_Points_Pace,TOR_Jump_Shots_Pace,TOR_Layups_Pace,TOR_Dunks_Pace,TOR_Hooks_Pace,TOR_From_Turnovers_Pace,TOR_From_Second_Chances_Pace,TOR_From_Fast_Break_Pace,NYK_Expected_Points_Pace,NYK_Jump_Shots_Pace,NYK_Layups_Pace,NYK_Dunks_Pace,NYK_Hooks_Pace,NYK_From_Turnovers_Pace,NYK_From_Second_Chances_Pace,NYK_From_Fast_Break_Pace,BOS_Expected_Points_Pace,BOS_Jump_Shots_Pace,BOS_Layups_Pace,BOS_Dunks_Pace,BOS_Hooks_Pace,BOS_From_Turnovers_Pace,BOS_From_Second_Chances_Pace,BOS_From_Fast_Break_Pace,BKN_Expected_Points_Pace,BKN_Jump_Shots_Pace,BKN_Layups_Pace,BKN_Dunks_Pace,BKN_Hooks_Pace,BKN_From_Turnovers_Pace,BKN_From_Second_Chances_Pace,BKN_From_Fast_Break_Pace,DET_Expected_Points_Pace,DET_Jump_Shots_Pace,DET_Layups_Pace,DET_Dunks_Pace,DET_Hooks_Pace,DET_From_Turnovers_Pace,DET_From_Second_Chances_Pace,DET_From_Fast_Break_Pace,CLE_Expected_Points_Pace,CLE_Jump_Shots_Pace,CLE_Layups_Pace,CLE_Dunks_Pace,CLE_Hooks_Pace,CLE_From_Turnovers_Pace,CLE_From_Second_Chances_Pace,CLE_From_Fast_Break_Pace,MIL_Expected_Points_Pace,MIL_Jump_Shots_Pace,MIL_Layups_Pace,MIL_Dunks_Pace,MIL_Hooks_Pace,MIL_From_Turnovers_Pace,MIL_From_Second_Chances_Pace,MIL_From_Fast_Break_Pace,IND_Expected_Points_Pace,IND_Jump_Shots_Pace,IND_Layups_Pace,IND_Dunks_Pace,IND_Hooks_Pace,IND_From_Turnovers_Pace,IND_From_Second_Chances_Pace,IND_From_Fast_Break_Pace,CHI_Expected_Points_Pace,CHI_Jump_Shots_Pace,CHI_Layups_Pace,CHI_Dunks_Pace,CHI_Hooks_Pace,CHI_From_Turnovers_Pace,CHI_From_Second_Chances_Pace,CHI_From_Fast_Break_Pace,ORL_Expected_Points_Pace,ORL_Jump_Shots_Pace,ORL_Layups_Pace,ORL_Dunks_Pace,ORL_Hooks_Pace,ORL_From_Turnovers_Pace,ORL_From_Second_Chances_Pace,ORL_From_Fast_Break_Pace,WAS_Expected_Points_Pace,WAS_Jump_Shots_Pace,WAS_Layups_Pace,WAS_Dunks_Pace,WAS_Hooks_Pace,WAS_From_Turnovers_Pace,WAS_From_Second_Chances_Pace,WAS_From_Fast_Break_Pace,CHA_Expected_Points_Pace,CHA_Jump_Shots_Pace,CHA_Layups_Pace,CHA_Dunks_Pace,CHA_Hooks_Pace,CHA_From_Turnovers_Pace,CHA_From_Second_Chances_Pace,CHA_From_Fast_Break_Pace,MIA_Expected_Points_Pace,MIA_Jump_Shots_Pace,MIA_Layups_Pace,MIA_Dunks_Pace,MIA_Hooks_Pace,MIA_From_Turnovers_Pace,MIA_From_Second_Chances_Pace,MIA_From_Fast_Break_Pace,ATL_Expected_Points_Pace,ATL_Jump_Shots_Pace,ATL_Layups_Pace,ATL_Dunks_Pace,ATL_Hooks_Pace,ATL_From_Turnovers_Pace,ATL_From_Second_Chances_Pace,ATL_From_Fast_Break_Pace,POR_Expected_Points_Pace,POR_Jump_Shots_Pace,POR_Layups_Pace,POR_Dunks_Pace,POR_Hooks_Pace,POR_From_Turnovers_Pace,POR_From_Second_Chances_Pace,POR_From_Fast_Break_Pace,UTA_Expected_Points_Pace,UTA_Jump_Shots_Pace,UTA_Layups_Pace,UTA_Dunks_Pace,UTA_Hooks_Pace,UTA_From_Turnovers_Pace,UTA_From_Second_Chances_Pace,UTA_From_Fast_Break_Pace,DEN_Expected_Points_Pace,DEN_Jump_Shots_Pace,DEN_Layups_Pace,DEN_Dunks_Pace,DEN_Hooks_Pace,DEN_From_Turnovers_Pace,DEN_From_Second_Chances_Pace,DEN_From_Fast_Break_Pace,OKC_Expected_Points_Pace,OKC_Jump_Shots_Pace,OKC_Layups_Pace,OKC_Dunks_Pace,OKC_Hooks_Pace,OKC_From_Turnovers_Pace,OKC_From_Second_Chances_Pace,OKC_From_Fast_Break_Pace,MIN_Expected_Points_Pace,MIN_Jump_Shots_Pace,MIN_Layups_Pace,MIN_Dunks_Pace,MIN_Hooks_Pace,MIN_From_Turnovers_Pace,MIN_From_Second_Chances_Pace,MIN_From_Fast_Break_Pace,LAC_Expected_Points_Pace,LAC_Jump_Shots_Pace,LAC_Layups_Pace,LAC_Dunks_Pace,LAC_Hooks_Pace,LAC_From_Turnovers_Pace,LAC_From_Second_Chances_Pace,LAC_From_Fast_Break_Pace,LAL_Expected_Points_Pace,LAL_Jump_Shots_Pace,LAL_Layups_Pace,LAL_Dunks_Pace,LAL_Hooks_Pace,LAL_From_Turnovers_Pace,LAL_From_Second_Chances_Pace,LAL_From_Fast_Break_Pace,SAC_Expected_Points_Pace,SAC_Jump_Shots_Pace,SAC_Layups_Pace,SAC_Dunks_Pace,SAC_Hooks_Pace,SAC_From_Turnovers_Pace,SAC_From_Second_Chances_Pace,SAC_From_Fast_Break_Pace,PHX_Expected_Points_Pace,PHX_Jump_Shots_Pace,PHX_Layups_Pace,PHX_Dunks_Pace,PHX_Hooks_Pace,PHX_From_Turnovers_Pace,PHX_From_Second_Chances_Pace,PHX_From_Fast_Break_Pace,GSW_Expected_Points_Pace,GSW_Jump_Shots_Pace,GSW_Layups_Pace,GSW_Dunks_Pace,GSW_Hooks_Pace,GSW_From_Turnovers_Pace,GSW_From_Second_Chances_Pace,GSW_From_Fast_Break_Pace,SAS_Expected_Points_Pace,SAS_Jump_Shots_Pace,SAS_Layups_Pace,SAS_Dunks_Pace,SAS_Hooks_Pace,SAS_From_Turnovers_Pace,SAS_From_Second_Chances_Pace,SAS_From_Fast_Break_Pace,MEM_Expected_Points_Pace,MEM_Jump_Shots_Pace,MEM_Layups_Pace,MEM_Dunks_Pace,MEM_Hooks_Pace,MEM_From_Turnovers_Pace,MEM_From_Second_Chances_Pace,MEM_From_Fast_Break_Pace,HOU_Expected_Points_Pace,HOU_Jump_Shots_Pace,HOU_Layups_Pace,HOU_Dunks_Pace,HOU_Hooks_Pace,HOU_From_Turnovers_Pace,HOU_From_Second_Chances_Pace,HOU_From_Fast_Break_Pace,NOP_Expected_Points_Pace,NOP_Jump_Shots_Pace,NOP_Layups_Pace,NOP_Dunks_Pace,NOP_Hooks_Pace,NOP_From_Turnovers_Pace,NOP_From_Second_Chances_Pace,NOP_From_Fast_Break_Pace,DAL_Expected_Points_Pace,DAL_Jump_Shots_Pace,DAL_Layups_Pace,DAL_Dunks_Pace,DAL_Hooks_Pace,DAL_From_Turnovers_Pace,DAL_From_Second_Chances_Pace,DAL_From_Fast_Break_Pace
1,338,290,0,0,0,44,27,11,373,318,0,0,0,77,15,46,503,432,0,0,0,55,33,16,331,282,0,0,0,31,56,41,407,350,0,0,0,33,33,27,383,328,0,0,0,41,36,26,475,410,0,0,0,53,48,34,562,482,0,0,0,48,29,63,344,297,0,0,0,51,20,26,573,487,0,0,0,46,20,67,494,420,0,0,0,63,48,48,328,282,0,0,0,41,15,31,562,482,0,0,0,36,72,26,549,472,0,0,0,41,15,36,523,444,0,0,0,72,43,63,388,333,0,0,0,36,46,41,563,481,0,0,0,55,77,77,336,287,0,0,0,46,31,31,532,453,0,0,0,92,53,53,553,472,0,0,0,51,41,31,420,359,0,0,0,15,36,31,336,290,0,0,0,11,44,11,412,352,0,0,0,39,43,19,495,425,0,0,0,62,31,31,488,419,0,0,0,50,27,32,573,492,0,0,0,55,44,44,542,463,0,0,0,48,63,43,420,357,0,0,0,23,29,23,317,270,0,0,0,29,24,39,580,492,0,0,0,77,46,59
2,337,290,0,0,0,33,33,27,320,277,0,0,0,51,26,41,754,645,0,0,0,77,93,44,339,292,0,0,0,26,51,15,451,388,0,0,0,55,27,38,423,364,0,0,0,82,36,15,373,323,0,0,0,63,19,39,335,289,0,0,0,58,29,14,368,318,0,0,0,67,51,46,554,472,0,0,0,62,41,46,299,256,0,0,0,24,29,24,355,308,0,0,0,51,15,36,419,359,0,0,0,51,51,46,448,384,0,0,0,56,46,51,517,444,0,0,0,77,24,34,473,405,0,0,0,46,51,41,416,355,0,0,0,71,55,44,311,266,0,0,0,26,10,36,306,260,0,0,0,24,58,24,385,328,0,0,0,51,36,56,424,364,0,0,0,41,36,15,328,284,0,0,0,55,16,33,444,381,0,0,0,53,39,39,361,313,0,0,0,51,41,10,538,465,0,0,0,46,50,27,594,508,0,0,0,60,27,27,332,285,0,0,0,34,24,19,529,451,0,0,0,53,53,41,340,289,0,0,0,34,19,43,478,410,0,0,0,68,68,41
3,63,66,0,0,0,11,5,5,87,102,0,0,0,15,15,0,83,87,5,0,0,11,22,0,73,77,10,0,0,10,10,5,83,93,0,0,5,11,5,11,51,51,5,0,0,10,5,0,42,48,0,0,0,10,14,5,80,96,0,0,0,5,0,5,71,92,0,0,0,15,20,0,57,67,0,0,0,10,5,0,80,92,0,0,0,0,5,0,80,97,0,0,0,5,5,5,18,20,0,0,0,0,0,0,89,108,0,0,0,10,5,10,91,96,0,0,5,19,5,5,25,31,0,0,0,5,0,0,87,98,0,0,0,27,27,5,85,97,5,0,0,10,5,5,150,159,5,0,5,34,34,5,48,56,0,0,0,10,5,0,47,46,5,0,5,10,5,0,53,60,0,0,0,0,5,5,139,159,0,0,0,14,0,0,53,56,0,0,5,0,10,5,98,114,0,0,0,9,18,0,79,93,0,0,0,16,22,0,105,121,0,0,5,19,24,5,157,187,6,0,0,18,12,0,38,39,5,0,0,5,5,0,49,59,0,0,0,5,9,0
4,91,109,0,0,0,11,11,0,150,174,0,0,0,15,5,5,113,126,0,0,5,22,16,0,82,87,0,0,10,15,10,10,100,120,0,0,0,16,16,0,113,123,0,0,0,26,15,5,95,116,0,0,0,19,14,5,59,63,0,0,10,5,14,0,68,87,0,0,0,20,10,0,47,51,0,0,5,5,10,0,66,72,0,0,5,5,24,0,78,92,0,0,0,5,10,0,39,46,0,0,0,0,10,0,66,67,5,0,5,10,20,0,64,77,0,0,0,10,5,0,30,31,0,0,5,0,5,0,103,126,0,0,0,5,38,0,105,123,5,0,0,26,10,10,155,169,0,0,0,14,0,0,114,113,10,0,0,10,0,5,133,144,0,0,5,5,5,10,52,66,0,0,0,5,0,0,156,178,5,0,0,10,39,10,116,128,0,0,5,26,15,0,98,109,9,0,0,18,5,0,96,104,5,0,0,5,5,11,110,106,0,0,24,0,24,0,140,146,6,0,12,6,35,0,78,96,0,0,0,10,10,0,86,100,0,0,5,9,5,0
5,3362,301,1946,394,27,503,645,552,3310,190,1901,405,72,451,451,671,3169,306,1799,377,55,492,519,410,2565,123,1553,359,41,533,512,374,2772,87,1503,497,131,372,459,333,4038,236,2199,712,87,615,564,661,3013,207,1490,531,96,482,511,400,3130,207,1761,449,68,468,362,473,2999,200,1994,251,51,420,589,441,3797,359,2368,272,133,472,446,569,3417,222,1929,497,101,516,482,622,3239,215,1819,492,92,374,477,446,3157,297,1773,441,41,400,518,354,3514,384,2009,364,113,569,477,564,3188,227,1669,535,39,434,400,526,3983,205,2398,548,77,656,718,512,2945,241,1678,415,60,459,541,448,3440,144,2076,384,128,420,518,497,3181,294,1626,531,43,550,352,415,3271,282,1804,477,46,579,579,482,2697,256,1353,390,215,379,441,323,2792,202,1334,530,71,443,426,448,3036,289,1751,328,121,439,352,511,2535,138,1394,451,36,482,533,405,2660,123,1731,273,36,433,392,369,3371,235,1766,552,55,497,497,481,2746,285,1563,265,111,391,511,473,3399,164,1792,627,88,533,715,463,3660,164,2219,482,87,622,593,555,3170,228,1758,492,77,378,415,510
6,946,820,186,0,33,98,98,27,1178,1030,108,5,118,169,118,51,893,880,33,11,27,115,49,16,877,805,123,0,51,164,108,41,740,569,126,16,82,93,77,38,958,702,154,15,138,149,128,36,939,762,130,10,130,174,82,63,831,695,101,10,106,106,82,29,1175,979,184,0,108,123,82,72,864,769,77,0,97,87,102,15,924,781,164,5,63,121,68,58,1034,933,128,5,72,102,92,72,1056,948,113,0,92,118,92,36,1293,928,272,15,154,179,82,67,1164,941,164,14,125,140,101,63,687,538,133,10,46,128,46,41,986,661,241,38,98,109,126,60,898,656,154,0,159,102,97,36,981,834,164,0,53,188,53,29,1030,835,174,15,77,184,113,36,1058,748,77,15,308,102,77,51,1243,1159,120,0,98,191,93,33,1114,888,198,29,72,178,72,58,1206,984,210,0,108,179,133,20,764,606,159,5,36,123,59,36,829,722,104,0,44,120,33,44,1222,1023,125,5,203,121,150,48,1230,1002,105,12,223,146,193,23,994,849,154,0,82,121,101,19,1017,893,100,0,114,132,64,23
7,97,109,11,0,0,22,5,5,156,195,5,0,0,36,31,5,131,159,0,0,0,27,5,0,194,251,5,0,0,46,15,5,177,202,5,0,16,38,22,5,117,138,5,0,0,15,10,0,101,121,5,0,0,10,5,0,250,314,5,0,0,48,10,10,188,231,0,0,0,26,15,0,66,87,0,0,0,20,5,0,109,145,0,0,0,10,10,5,145,159,5,0,5,10,10,0,84,102,5,0,0,10,15,0,83,102,0,0,0,10,0,0,122,135,5,0,10,14,5,10,100,113,15,0,0,31,31,5,108,126,11,0,0,0,5,5,196,236,10,5,0,15,31,0,118,130,5,0,5,39,0,0,83,102,0,0,0,26,15,0,75,92,0,0,5,10,5,5,155,208,0,0,0,22,5,0,188,241,0,0,0,24,19,10,171,210,0,0,5,20,31,0,84,105,0,0,0,9,14,0,151,169,5,0,0,27,22,0,128,164,0,0,0,5,5,14,180,228,6,0,0,23,29,0,111,135,5,0,0,19,14,0,127,164,0,0,0,14,18,0
8,110,142,0,0,0,22,5,0,90,118,0,0,0,26,5,5,56,77,0,0,0,5,5,0,204,261,0,0,5,26,26,5,71,93,0,0,0,16,16,0,74,97,0,0,0,5,15,0,94,125,0,0,0,29,24,0,90,116,0,0,0,14,5,5,142,174,5,0,0,36,20,5,11,15,0,0,0,0,5,0,84,111,0,0,0,5,0,5,147,195,0,0,0,26,5,10,66,82,0,0,0,10,10,0,57,67,0,0,5,5,5,0,61,72,5,0,0,10,5,5,66,87,0,0,0,5,5,0,99,126,0,0,0,5,5,5,168,210,5,0,0,10,0,15,81,101,0,0,0,10,5,0,57,72,0,0,0,10,5,0,71,87,0,0,0,5,5,0,87,115,0,0,0,11,5,0,141,178,0,0,0,10,14,0,153,195,0,0,0,41,5,0,88,109,0,0,0,23,9,9,125,153,5,0,0,16,16,0,58,72,0,0,5,5,0,0,203,258,0,0,0,12,12,12,96,125,0,0,0,14,14,0,110,141,0,0,5,14,14,0
9,77,104,0,0,0,0,0,0,53,72,0,0,0,10,5,0,30,38,0,0,0,5,0,0,93,128,0,0,0,10,5,0,32,44,0,0,0,0,11,0,31,41,0,0,0,5,5,0,17,24,0,0,0,5,5,0,39,53,5,0,0,0,5,0,50,67,0,0,0,10,10,0,14,20,0,0,0,5,5,0,64,87,0,0,0,10,10,0,43,56,0,0,0,5,0,5,10,15,0,0,0,0,0,0,15,20,0,0,0,0,0,0,49,68,0,0,0,19,14,0,24,36,0,0,0,0,5,0,53,71,0,0,0,11,0,0,41,56,0,0,0,5,0,0,27,34,0,0,0,10,0,0,55,72,0,0,0,0,0,5,26,36,0,0,0,0,5,0,53,71,0,0,0,11,0,0,86,116,0,0,0,5,0,0,31,41,0,0,0,26,0,0,25,32,0,0,0,5,0,0,39,49,0,0,0,5,0,0,34,43,0,0,0,10,0,0,62,82,0,0,0,12,0,0,31,43,0,0,0,5,5,0,40,55,0,0,0,9,5,0
10,69,87,0,0,0,11,5,0,57,77,0,0,0,20,0,5,46,60,0,0,0,5,0,5,89,123,0,0,0,5,10,0,42,60,0,0,0,16,0,0,20,31,0,0,0,5,5,0,32,43,0,0,0,10,5,0,49,68,0,0,0,10,10,0,52,67,0,0,0,15,10,5,22,31,0,0,0,0,10,0,32,43,0,0,0,5,0,0,35,46,0,0,0,0,5,5,28,36,0,0,0,0,0,0,30,41,0,0,0,0,10,0,26,34,0,0,0,5,5,0,19,26,0,0,0,15,5,5,35,49,0,0,0,5,5,0,34,46,0,0,0,5,0,0,32,43,0,0,0,14,0,5,36,46,0,0,0,0,0,0,33,46,0,0,0,0,10,0,43,60,0,0,0,11,0,0,57,77,0,0,0,10,0,0,66,92,0,0,0,20,15,5,34,46,0,0,0,5,0,5,25,33,0,0,0,5,0,0,52,72,0,0,0,5,10,0,36,47,0,0,0,0,0,0,29,39,0,0,0,0,0,0,54,73,0,0,0,9,5,0
