Region,PHI_Expected_Points,TOR_Expected_Points,NYK_Expected_Points,BOS_Expected_Points,BKN_Expected_Points,DET_Expected_Points,CLE_Expected_Points,MIL_Expected_Points,IND_Expected_Points,CHI_Expected_Points,ORL_Expected_Points,WAS_Expected_Points,CHA_Expected_Points,MIA_Expected_Points,ATL_Expected_Points,POR_Expected_Points,UTA_Expected_Points,DEN_Expected_Points,OKC_Expected_Points,MIN_Expected_Points,LAC_Expected_Points,LAL_Expected_Points,SAC_Expected_Points,PHX_Expected_Points,GSW_Expected_Points,SAS_Expected_Points,MEM_Expected_Points,HOU_Expected_Points,NOP_Expected_Points,DAL_Expected_Points,PHI_Jump_Shots,TOR_Jump_Shots,NYK_Jump_Shots,BOS_Jump_Shots,BKN_Jump_Shots,DET_Jump_Shots,CLE_Jump_Shots,MIL_Jump_Shots,IND_Jump_Shots,CHI_Jump_Shots,ORL_Jump_Shots,WAS_Jump_Shots,CHA_Jump_Shots,MIA_Jump_Shots,ATL_Jump_Shots,POR_Jump_Shots,UTA_Jump_Shots,DEN_Jump_Shots,OKC_Jump_Shots,MIN_Jump_Shots,LAC_Jump_Shots,LAL_Jump_Shots,SAC_Jump_Shots,PHX_Jump_Shots,GSW_Jump_Shots,SAS_Jump_Shots,MEM_Jump_Shots,HOU_Jump_Shots,NOP_Jump_Shots,DAL_Jump_Shots,PHI_Layups,TOR_Layups,NYK_Layups,BOS_Layups,BKN_Layups,DET_Layups,CLE_Layups,MIL_Layups,IND_Layups,CHI_Layups,ORL_Layups,WAS_Layups,CHA_Layups,MIA_Layups,ATL_Layups,POR_Layups,UTA_Layups,DEN_Layups,OKC_Layups,MIN_Layups,LAC_Layups,LAL_Layups,SAC_Layups,PHX_Layups,GSW_Layups,SAS_Layups,MEM_Layups,HOU_Layups,NOP_Layups,DAL_Layups,PHI_Dunks,TOR_Dunks,NYK_Dunks,BOS_Dunks,BKN_Dunks,DET_Dunks,CLE_Dunks,MIL_Dunks,IND_Dunks,CHI_Dunks,ORL_Dunks,WAS_Dunks,CHA_Dunks,MIA_Dunks,ATL_Dunks,POR_Dunks,UTA_Dunks,DEN_Dunks,OKC_Dunks,MIN_Dunks,LAC_Dunks,LAL_Dunks,SAC_Dunks,PHX_Dunks,GSW_Dunks,SAS_Dunks,MEM_Dunks,HOU_Dunks,NOP_Dunks,DAL_Dunks,PHI_Hooks,TOR_Hooks,NYK_Hooks,BOS_Hooks,BKN_Hooks,DET_Hooks,CLE_Hooks,MIL_Hooks,IND_Hooks,CHI_Hooks,ORL_Hooks,WAS_Hooks,CHA_Hooks,MIA_Hooks,ATL_Hooks,POR_Hooks,UTA_Hooks,DEN_Hooks,OKC_Hooks,MIN_Hooks,LAC_Hooks,LAL_Hooks,SAC_Hooks,PHX_Hooks,GSW_Hooks,SAS_Hooks,MEM_Hooks,HOU_Hooks,NOP_Hooks,DAL_Hooks,PHI_From_Turnovers,TOR_From_Turnovers,NYK_From_Turnovers,BOS_From_Turnovers,BKN_From_Turnovers,DET_From_Turnovers,CLE_From_Turnovers,MIL_From_Turnovers,IND_From_Turnovers,CHI_From_Turnovers,ORL_From_Turnovers,WAS_From_Turnovers,CHA_From_Turnovers,MIA_From_Turnovers,ATL_From_Turnovers,POR_From_Turnovers,UTA_From_Turnovers,DEN_From_Turnovers,OKC_From_Turnovers,MIN_From_Turnovers,LAC_From_Turnovers,LAL_From_Turnovers,SAC_From_Turnovers,PHX_From_Turnovers,GSW_From_Turnovers,SAS_From_Turnovers,MEM_From_Turnovers,HOU_From_Turnovers,NOP_From_Turnovers,DAL_From_Turnovers,PHI_From_Second_Chances,TOR_From_Second_Chances,NYK_From_Second_Chances,BOS_From_Second_Chances,BKN_From_Second_Chances,DET_From_Second_Chances,CLE_From_Second_Chances,MIL_From_Second_Chances,IND_From_Second_Chances,CHI_From_Second_Chances,ORL_From_Second_Chances,WAS_From_Second_Chances,CHA_From_Second_Chances,MIA_From_Second_Chances,ATL_From_Second_Chances,POR_From_Second_Chances,UTA_From_Second_Chances,DEN_From_Second_Chances,OKC_From_Second_Chances,MIN_From_Second_Chances,LAC_From_Second_Chances,LAL_From_Second_Chances,SAC_From_Second_Chances,PHX_From_Second_Chances,GSW_From_Second_Chances,SAS_From_Second_Chances,MEM_From_Second_Chances,HOU_From_Second_Chances,NOP_From_Second_Chances,DAL_From_Second_Chances,PHI_From_Fast_Break,TOR_From_Fast_Break,NYK_From_Fast_Break,BOS_From_Fast_Break,BKN_From_Fast_Break,DET_From_Fast_Break,CLE_From_Fast_Break,MIL_From_Fast_Break,IND_From_Fast_Break,CHI_From_Fast_Break,ORL_From_Fast_Break,WAS_From_Fast_Break,CHA_From_Fast_Break,MIA_From_Fast_Break,ATL_From_Fast_Break,POR_From_Fast_Break,UTA_From_Fast_Break,DEN_From_Fast_Break,OKC_From_Fast_Break,MIN_From_Fast_Break,LAC_From_Fast_Break,LAL_From_Fast_Break,SAC_From_Fast_Break,PHX_From_Fast_Break,GSW_From_Fast_Break,SAS_From_Fast_Break,MEM_From_Fast_Break,HOU_From_Fast_Break,NOP_From_Fast_Break,DAL_From_Fast_Break,PHI_Average_Distance,TOR_Average_Distance,NYK_Average_Distance,BOS_Average_Distance,BKN_Average_Distance,DET_Average_Distance,CLE_Average_Distance,MIL_Average_Distance,IND_Average_Distance,CHI_Average_Distance,ORL_Average_Distance,WAS_Average_Distance,CHA_Average_Distance,MIA_Average_Distance,ATL_Average_Distance,POR_Average_Distance,UTA_Average_Distance,DEN_Average_Distance,OKC_Average_Distance,MIN_Average_Distance,LAC_Average_Distance,LAL_Average_Distance,SAC_Average_Distance,PHX_Average_Distance,GSW_Average_Distance,SAS_Average_Distance,MEM_Average_Distance,HOU_Average_Distance,NOP_Average_Distance,DAL_Average_Distance
1,61.903959865110124,72.6861590847694,91.94821039932852,64.52580240299524,74.39776497094401,74.6909270685457,98.39000822807728,116.55015339676034,67.16372771374249,111.72406889210703,102.33530867004222,64.04268569147042,109.64462882345099,107.17326669591846,108.3788652823706,75.70840670274036,102.94066070033558,65.57191727493276,110.26776396034144,107.8740544544404,81.96747349890006,61.42751849984508,85.32966833776834,96.65472639185987,107.09165705852594,104.7979669653221,112.46037214323701,71.70645193105442,65.6197717967061,127.28780449244036,53,62,79,55,64,64,85,100,58,95,87,55,94,92,92,65,88,56,94,92,70,53,73,83,92,90,96,61,56,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,10,6,6,8,11,10,10,9,13,8,7,8,15,7,10,9,19,10,3,2,8,12,11,10,10,4,6,17,5,3,6,11,6,7,10,6,4,4,10,3,14,3,9,9,14,6,11,8,7,8,9,6,6,8,13,5,5,10,2,9,3,8,5,5,7,13,5,13,10,6,5,7,13,8,14,6,11,6,6,2,4,6,7,8,9,4,8,13,23.193958759408748,23.43174615351273,23.396944600722463,23.41192363463731,23.179622966806825,23.357298268207522,23.535346817815828,23.50302772667299,23.46578352240624,23.26981312605784,23.127185737170507,23.398584923003543,23.215482946732063,23.267404732250665,23.218734185912844,23.37882301305732,23.47034212060243,23.329896852309222,23.179608913651233,23.163428337817386,23.231086411640547,23.301268220417104,23.30294671186389,23.468712029252416,23.446363949861777,23.445531912032774,23.097692089554318,23.16886020289494,23.399661253529338,23.19503151338733
2,61.64617902403521,62.416845379368134,137.86510041651664,66.07870232846055,82.43706533615372,82.54437720731553,77.25675133012922,69.51242729684888,71.73568014126471,108.00189592905548,62.085589473664136,69.30637516442906,81.67377848897789,87.34976031788473,107.10433936710365,92.37414702856839,76.01883163563437,60.63818586115628,63.4817803988471,75.08426674185478,82.80921774857052,60.07662850947357,92.14822591703181,70.51647646100704,118.14307078585756,108.6039767863965,68.84792128672214,90.33834079575199,70.38697741888383,104.92091104289428,53,54,118,57,71,71,67,60,62,92,53,60,70,75,92,79,65,52,54,64,71,52,79,61,102,93,59,77,60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,14,5,10,16,13,12,13,12,5,10,10,11,16,9,13,5,5,10,8,10,11,10,10,11,7,9,7,15,6,5,17,10,5,7,4,6,10,8,6,3,10,9,5,10,10,2,12,7,7,3,8,8,11,5,5,9,4,15,5,8,8,3,7,3,8,3,9,9,5,7,9,10,7,8,8,7,5,11,3,6,8,2,6,5,4,7,9,9,23.332822851987693,23.57129724527264,23.329609159116234,23.348951010244985,23.600181529371707,23.410225790539833,23.5821497269963,23.352926585587255,23.576642093387616,23.238750137893636,23.302806129138922,23.440579721791003,23.37942729048579,23.380216303136972,23.413117867208566,23.28487892014905,23.353662559651564,23.391801900610073,23.238873727355728,23.166414558384556,23.397149864424744,23.7103145637692,23.38197181470536,23.513272836729197,23.4488200095999,23.385497300706007,23.353974978700194,23.312743686958086,23.337650088375664,23.296928661027362
3,11.571974504159726,17.064364084142827,15.221508768136935,14.187264344782552,15.173386668471872,9.914806958331226,8.781932592706477,16.55463069093205,13.78408707341901,11.141052821881324,16.509644089631813,15.607499760325732,3.477049850575681,17.307744488994533,18.90827276027566,4.96920722110555,15.823793300750806,16.50755667043269,31.000493350789373,9.416297166830143,9.251861472499282,9.669905060482389,28.845729830896616,10.31662920435184,21.500717531710777,14.4717960530662,21.840358997813045,26.748146324543,7.775060036630687,10.790236182314429,12,20,16,15,17,10,10,20,18,13,19,19,4,21,20,6,18,19,33,11,9,11,33,11,25,17,25,32,8,13,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,3,2,2,2,2,2,1,3,2,0,1,0,2,4,1,5,2,7,2,2,0,3,0,2,3,4,3,1,1,1,3,4,2,1,1,3,0,4,1,1,1,0,1,1,0,5,1,7,1,1,1,0,2,4,4,5,2,1,2,1,0,0,1,2,0,1,1,0,0,0,1,0,2,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,14.33068553845078,13.674007006707978,13.287482567774767,12.432216517508547,14.134301863054198,12.537643300595512,14.604918466931757,15.2579090740765,15.475999640739857,14.837024893422372,14.850042178602713,13.593078588280784,12.83557036109471,15.314667764487815,15.724308461666897,16.311333099355544,13.924928935762342,14.067211875083542,14.573371454063569,12.200341064891132,13.279720286737184,14.073213483029107,13.304509543662471,15.445248723440697,14.246086103687315,15.30392109459954,14.033429069359071,14.924730460809169,14.47326526759668,14.391350959421997
4,16.677570663906966,29.220217341620874,20.6205854180372,15.990211110682212,18.371053091489145,22.101071870322624,19.709350826418135,12.264013816312602,13.341494444746179,9.08902405180909,13.60708518345137,15.27389333448696,7.524045852740382,12.829156123702292,13.261105166327617,5.924661805969779,18.802860168323114,20.47846798314014,32.04594762177694,22.168116645459353,25.89868662824466,9.535453201397582,32.2463249842822,22.699160229128136,21.611547172252095,17.61297931980596,22.798706096989758,23.982466194917063,16.158787423448118,18.803958007963313,20,34,23,17,22,24,24,13,17,10,15,18,9,13,16,6,23,24,35,22,28,12,37,25,24,19,22,25,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,5,2,0,1,2,3,4,3,3,5,4,1,4,1,1,1,0,2,2,0,1,5,3,2,1,1,2,5,4,1,0,1,2,2,2,1,3,2,3,3,3,3,2,2,5,2,2,4,1,1,7,2,0,0,1,0,8,3,1,1,5,6,2,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,0,2,0,0,0,0,15.189983522786905,12.912765000592314,13.307648049699782,13.98898522593152,13.589733057552344,12.423134153648608,13.08814716765436,14.853255825954314,15.250621420900151,12.495370674814001,12.996910702520148,13.515789239090934,14.43032413302705,12.223603540880186,14.371284458989333,13.445592525262352,15.231785306418017,14.86946677579141,13.768100931718827,12.50831371442951,13.814040226269968,14.758311403784345,14.646751939447219,13.840890485595247,13.079094872897526,12.767804358303298,13.053790552853497,12.51019202090237,15.859335245964816,13.782271950134072
5,615.0615116121551,645.9178239715175,579.7189842585275,500.45503422365636,507.0865292460101,787.8315800289834,624.7021600810082,648.8727430787126,585.1320798378341,740.874537036659,708.4550153745324,631.9613910334136,615.9703033641316,685.6528297155809,660.9799889119755,777.1951391150133,538.7527941250751,671.2952998579026,659.4991928030176,638.1533587340668,526.2622427199439,510.7575978017387,629.409043611915,494.6741826056934,583.8872851122502,616.6307795441588,569.2884446753175,580.3623977706807,758.6826930022729,695.8894214777594,55,37,56,24,16,46,43,43,39,70,46,42,58,75,47,40,44,28,61,55,50,37,60,27,27,43,59,28,34,50,356,371,329,303,275,429,309,365,389,462,400,355,346,392,346,468,307,405,337,352,264,244,363,272,380,323,324,306,460,386,72,79,69,70,91,139,110,93,49,53,103,96,86,71,111,107,76,75,110,93,76,97,68,88,60,101,55,107,100,108,5,14,10,8,24,17,20,14,10,26,21,18,8,22,8,15,11,25,9,9,42,13,25,7,8,10,23,15,18,17,92,88,90,104,68,120,100,97,82,92,107,73,78,111,90,128,84,82,114,113,74,81,91,94,95,91,81,91,129,83,118,88,95,100,84,110,106,75,115,87,100,93,101,93,83,140,99,101,73,113,86,78,73,104,86,91,106,122,123,91,101,131,75,73,61,129,83,98,86,111,129,87,69,110,109,100,82,97,86,94,63,82,106,79,81,88,98,79,115,112,2.264052163898565,1.9581212796611007,1.9098634876571896,2.672532344242543,2.568556757069446,2.759614739336164,2.3123838663075134,2.22656682752793,2.496288020270954,2.2443614848295512,2.5256120567078195,2.6629841817131203,2.4261407371689656,2.5383403454285847,2.1027800284475586,2.3587225637871088,3.3118111491203583,2.4490861591425905,2.6655225331925148,2.377236620525993,2.708068475164046,2.471257877850098,2.923264836524877,2.5433067376414167,2.6147954037515078,1.8931142822395237,2.7421335841657597,2.3073708907541826,2.367613172369746,2.630916031006365
6,173.1338245424406,229.7950966397724,163.3544128631772,171.1965083282267,135.36733266343515,186.98705429534164,194.74120916757536,172.30747870699366,229.25972378131203,168.55782500336127,191.49556727755748,201.80892877838284,205.99122305512236,252.37144189131666,241.22090809427638,134.0987822068004,180.4107854258675,175.1548481611985,203.27793149314843,200.96660343587212,206.52725484973845,227.44340536483958,231.00890036484608,235.39477918735406,167.76297532303948,151.73640013136452,253.4334425918474,209.9849797402323,206.1169465013483,223.16278507234534,150,201,161,157,104,137,158,144,191,150,162,182,185,181,195,105,121,128,173,163,146,212,184,192,133,132,212,171,176,196,34,21,6,24,23,30,27,21,36,15,34,25,22,53,34,26,44,30,34,34,15,22,41,41,35,19,26,18,32,22,0,1,2,0,3,3,2,2,0,0,1,1,0,3,3,2,7,0,0,3,3,0,6,0,1,0,1,2,0,0,6,23,5,10,15,27,27,22,21,19,13,14,18,30,26,9,18,31,11,15,60,18,15,21,8,8,42,38,17,25,18,33,21,32,17,29,36,22,24,17,25,20,23,35,29,25,20,20,39,36,20,35,37,35,27,22,25,25,25,29,18,23,9,21,14,25,17,17,16,20,14,18,18,16,21,9,23,19,11,22,15,17,15,26,13,6,31,33,21,14,5,10,3,8,7,7,13,6,14,3,12,14,7,13,13,8,11,7,6,7,10,6,12,4,8,8,10,4,4,5,9.029314962166799,9.195348082581239,10.036571638915538,10.421592943093618,9.194897195671743,8.614282130862081,9.556108882030573,10.421801675106856,9.363009418756496,8.500558505383113,9.222216179029722,9.99203706764868,9.30772317738134,8.502172155349893,8.727911174229307,9.557962877687324,8.906441662635777,8.769116922366527,9.84437500809456,9.030219347309535,9.262864325802845,10.337448682639378,9.989052785482505,9.585091195319059,8.964313355669448,9.459515132690228,9.46496263953964,10.087587517942167,9.197802254288332,9.214434507442792
7,17.70861778615297,30.422214501878592,23.98667807542554,37.84792747096903,32.467069373891604,22.80001867810514,20.839524506339814,51.911448114088834,36.68001200739928,12.914599507157602,22.511379804151552,28.319214724848326,16.471644078717222,16.20062738885881,25.327668603556358,19.5373760507652,19.782385618380083,38.17453088092489,24.464717046156725,16.18031535484875,14.552794891698184,28.390893615076326,38.87800584034513,33.385716571446274,18.361208517271535,27.604566740762234,26.580367797482676,30.760963198595967,23.003518785542475,27.914623496960644,20,38,29,49,37,27,25,65,45,17,30,31,20,20,28,22,23,46,27,20,18,38,50,41,23,31,34,39,28,36,2,1,0,1,1,1,1,1,0,0,0,1,1,0,1,3,2,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,7,5,9,7,3,2,10,5,4,2,2,2,2,3,6,0,3,8,5,2,4,5,4,2,5,1,4,4,3,1,6,1,3,4,2,1,2,3,1,2,2,3,0,1,6,1,6,0,3,1,1,4,6,3,4,1,5,3,4,1,1,0,1,1,0,0,2,0,0,1,0,0,0,2,1,1,0,0,0,1,0,2,0,0,0,3,0,0,0,15.601731443602473,16.717594040824224,15.90550178757777,17.073086565646456,15.479770130127333,15.845463540459482,16.83213798436396,15.942050512849606,15.002312587270664,16.11750667009976,17.23563000394745,14.044425192852186,16.265564262174927,15.494444059890757,15.483005159883009,16.311784560155193,16.068191372400708,16.030365323145904,15.497764054469378,15.597928232359084,16.92611002549725,16.931193626129907,16.769532632729003,15.921156090344617,16.235080914558743,14.879805537074443,16.319144291638377,16.043344802778282,15.648846588557564,17.08689972959576
8,20.047597544701944,17.51036716154381,10.219241648411394,39.895460238819126,12.907702077589022,14.381244598222683,19.46951779027813,18.671375162203233,27.690608589969976,2.1910759138144678,17.403485083589313,28.60787104909233,12.916161965036551,11.132075046217365,12.669426797927567,12.940724839452432,18.16657605328568,32.827981209056176,16.87182603831858,11.074961232984426,13.9453224775172,15.874045528354557,29.304187267260993,29.773663688377752,19.30665264984465,22.937528726617938,12.037302398869324,34.71139879636086,19.903185768419746,24.104889701976834,26,23,14,51,17,19,26,24,34,3,23,38,16,13,15,17,23,41,21,14,17,21,37,38,24,28,15,44,26,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,5,1,5,3,1,6,3,7,0,1,5,2,1,2,1,1,2,2,2,1,2,2,8,5,3,1,2,3,3,1,1,1,5,3,3,5,1,4,1,0,1,2,1,1,1,1,0,1,1,1,1,3,1,2,3,0,2,3,3,0,1,0,1,0,0,0,1,1,0,1,2,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0,2,0,0,16.88080177673229,15.673460580445415,17.88854202352497,17.363825223214313,17.769767361265366,17.21765648230473,17.24954758653156,17.03970218120291,16.857026109907363,17.855886416213657,16.914688272266353,17.369468120302784,15.739537819813702,17.125141423921363,17.340037393668037,17.697344578879257,16.70752237143486,16.91245755867363,16.86346464062978,17.243989277365564,16.270161718613277,16.748579400223186,17.10975254769427,16.252676434225766,16.26943076459107,16.738271604405043,17.405095721792566,16.920379616059208,17.00821297951759,17.683057737762347
9,14.167811026538994,10.281180882886725,5.439787352835575,18.201642213494726,5.867536731068734,6.121470041809137,3.5517639285120772,8.186742187365557,9.785061845734067,2.65214872733037,13.322883732299687,8.29983249602935,1.989958249829217,2.974058353616798,10.244584878566577,4.747529783823453,9.73263212166736,7.906092019423052,5.578564742378805,10.687209743741446,5.036989834477749,9.757721355083499,17.887293442562537,6.085709528219679,5.382264360862608,7.136688366719327,7.014525935116419,10.612141364780753,6.448394079223002,8.824859726630214,19,14,7,25,8,8,5,11,13,4,18,11,3,4,14,7,13,11,7,14,7,13,24,8,7,9,9,14,9,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,2,1,2,1,0,0,4,0,2,1,2,0,0,2,1,5,1,1,2,2,1,2,0,1,0,1,2,1,1,1,2,1,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.163978907618638,17.8006023679004,17.991256085342048,18.557524512846967,19.105068265178534,17.846916376012093,18.986490199112843,19.1345074006352,18.55024069441328,20.03917720250807,18.395945788027415,18.45032970790756,17.342610378825658,19.784600764029616,19.269195929540032,20.288355648688423,18.65455722817388,18.496913208894842,17.819017795389936,18.671452283713478,17.148436440384742,17.552198765370417,18.31093630671339,18.646509471785215,17.378082421408394,17.946944447495152,17.645250109838297,17.740409810386424,18.954588275427252,19.075267834841757
10,12.54763803214392,11.059453747996779,8.396177559597078,17.455928950951854,7.685248810963633,3.976395558004212,6.72919083454765,10.236704454838781,10.09711292930343,4.307687700190145,6.66595125270199,6.8759696100571075,5.468134522784815,5.86182247401635,5.369121712763276,3.612157477179762,6.357615977047255,6.562316193289049,6.731825436890131,7.026099198189078,6.442012602096556,7.881761945085302,11.849634927718478,12.97086626594931,7.568596626018916,4.48359301215339,10.783912982342471,6.1260200076705775,6.1144401544403815,11.857109220712797,16,15,11,24,11,6,9,14,13,6,9,9,7,8,7,5,9,9,9,9,9,11,16,18,10,6,15,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,3,1,2,2,3,0,1,0,0,0,1,3,1,1,3,0,0,2,2,4,1,1,1,0,0,2,1,0,0,2,0,1,1,2,2,2,0,1,0,2,1,1,1,0,0,0,2,0,0,3,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,17.662017619381693,18.289777114330633,18.17393189699415,18.273461989214724,19.172342642839528,19.121254739722605,18.73046392686058,18.482740045439126,17.581667556510745,18.349995305087383,18.520667154470214,18.19308882130242,17.859296796979432,19.346498768887272,18.269307125182618,18.006782841997826,19.72924766356543,19.08750277810517,18.722357818453627,17.077714792493158,18.0606882664055,18.284020470370855,19.04328508308587,19.041508198713977,17.952120526312946,18.123134750402393,18.21779130438634,18.09843317898499,18.576859901205285,18.443489148402342
